season,episode,timecode_in,timecode_out,duration_line,line_order,text_line
1,2,"00:28:24,702","00:28:27,162",2.46,337,Anyone who came that close to me died in my hands.
1,2,"00:28:29,666","00:28:31,036",1.37,338,You could die tonight.
1,2,"00:28:32,419","00:28:33,629",1.21,339,It is the ghost Sapsali.
1,2,"00:28:41,136","00:28:44,469",3.33,340,"If that thing attacks you, will you turn to stone like that guy?"
1,2,"00:28:46,391","00:28:47,521",1.13,341,Run.
1,2,"00:28:49,644","00:28:50,734",1.09,342,I will try to save you.
1,2,"00:30:13,561","00:30:15,191",1.63,343,Gwigu's pottery.
1,2,"00:30:15,271","00:30:17,401",2.13,344,It was our family heirloom.
1,2,"00:30:18,691","00:30:21,611",2.92,345,I just wanted to take a look at it.
1,2,"00:30:21,694","00:30:24,784",3.09,346,But what kind of an heirloom is this fragile?
1,2,"00:30:24,864","00:30:26,204",1.34,347,Jang Uk!
1,2,"00:30:29,911","00:30:31,661",1.75,348,We need to talk. Come here.
1,2,"00:30:32,330","00:30:33,410",1.08,349,Uk.
1,2,"00:30:35,458","00:30:36,578",1.12,350,Uk.
1,2,"00:30:38,419","00:30:41,629",3.21,351,"Hey, Uk. Jang Uk!"
1,2,"00:30:46,344","00:30:47,434",1.09,352,Uk!
1,2,"00:30:48,763","00:30:49,853",1.09,353,Uk!
