season,episode,line,start_time,end_time,text
1,1,289,00:33:53:16,00:33:54:19,Seo.
1,1,290,00:33:55:12,00:33:56:17,Jang.
1,1,291,00:33:57:10,00:33:58:15,Park.
1,1,292,00:34:07:24,00:34:08:24,The Four Seasons?
1,1,293,00:34:10:10,00:34:14:05,"Once I come across all four of you,
it will be the end of it."
1,1,294,00:34:17:05,00:34:19:18,"May you greet your deaths
as beautifully as your names."
1,1,295,00:34:23:20,00:34:26:12,Who are you here to meet today?
1,1,296,00:34:26:14,00:34:30:10,"My uncle told me
to come and fetch someone."
1,1,297,00:34:30:24,00:34:33:03,Fetch someone? Who?
1,1,298,00:34:33:05,00:34:35:21,A trainee in Gisan
1,1,299,00:34:35:23,00:34:38:21,humiliated his master and got sent away.
1,1,300,00:34:39:24,00:34:42:12,I bet this is where he is hiding.
1,1,301,00:34:43:09,00:34:44:24,Will you look at that?
1,1,302,00:34:45:02,00:34:48:08,"He must have craved seafood
because he was stuck in the mountains"
1,1,303,00:34:48:10,00:34:50:10,for so long.
1,1,304,00:34:50:12,00:34:52:09,I guess he is in that room.
1,1,305,00:35:12:03,00:35:13:05,Goodness.
1,1,306,00:35:14:10,00:35:16:16,"Thanks to you, my uncle has to go"
1,1,307,00:35:16:18,00:35:19:18,"all the way to Gisan
to beg for the monk's forgiveness."
1,1,308,00:35:19:20,00:35:24:14,"Meanwhile, you are here
enjoying this damn crab."
1,1,309,00:35:24:16,00:35:26:08,"No, I have not eaten it."
1,1,310,00:35:26:10,00:35:27:18,It is such a hassle to eat.
1,1,311,00:35:28:08,00:35:30:16,"I am glad you came.
Break the shell with your spell."
1,1,312,00:35:31:16,00:35:32:23,Unbelievable.
1,1,313,00:35:33:00,00:35:36:24,"I do know how to crack the shell
and pick out just the meat."
1,1,314,00:35:37:01,00:35:39:17,"But maybe I should use that spell on you,
not the crab."
1,1,315,00:35:39:20,00:35:43:05,"Dang-gu, if that monk had been
kind enough to at least teach me that,"
1,1,316,00:35:43:07,00:35:45:07,I would not have left that way.
1,1,317,00:35:45:09,00:35:47:01,What good is it if you cannot do it?
1,1,318,00:35:47:03,00:35:49:01,Your dad blocked you from casting spells.
1,1,319,00:35:49:03,00:35:50:18,Then he should have helped me break that.
1,1,320,00:35:50:20,00:35:54:07,"That is what masters do.
They help their students."
1,1,321,00:35:54:10,00:35:57:01,No one in Daeho is brave enough
1,1,322,00:35:57:03,00:35:59:08,to go against your dad like that.
1,1,323,00:35:59:10,00:36:00:24,But some live fearlessly.
1,1,324,00:36:01:01,00:36:02:07,"For example,"
1,1,325,00:36:03:06,00:36:05:04,"the Shadow Assassin, Naksu."
1,1,326,00:36:09:13,00:36:10:16,Do not be ridiculous.
1,1,327,00:36:10:18,00:36:14:00,"I heard she is so skilled that
even the leader cannot beat her."
1,1,328,00:36:15:07,00:36:16:15,She is dead.
1,1,329,00:36:17:07,00:36:20:03,"Her soul left her body,
so that means she might still be alive."
1,1,330,00:36:21:15,00:36:22:23,Who told you that?
1,1,331,00:36:23:15,00:36:26:05,"Do you think I am here
just so I can eat crab?"
1,1,332,00:36:26:07,00:36:27:14,This is the fastest place
1,1,333,00:36:27:16,00:36:29:20,to hear everything that goes on in Daeho.
1,1,334,00:36:30:08,00:36:31:19,Pick out the meat already.
1,1,335,00:36:31:21,00:36:34:16,"Put those spells to good use
and pick out the crab meat."
1,1,336,00:36:34:18,00:36:37:24,"Why can you not pick out
the meat yourself, you lazybones?"
1,1,337,00:36:41:12,00:36:43:24,You look pretty now that you have washed.
1,1,338,00:36:44:01,00:36:45:06,Let me put makeup on you.
1,1,339,00:36:46:11,00:36:48:23,"Ju-wol, I will just do it myself."
1,1,340,00:36:49:01,00:36:51:18,But how? You cannot even see.
1,1,341,00:36:53:01,00:36:54:24,"I have never done this in my life,"
1,1,342,00:36:55:01,00:36:57:03,so I need to prepare myself.
1,1,343,00:36:58:14,00:37:00:16,I would like to be alone for a while.
1,1,344,00:37:02:15,00:37:04:22,Sure. Come out when you are ready.
1,1,345,00:37:16:00,00:37:18:06,"Being blind makes it easier
to fool people."
1,1,346,00:37:19:11,00:37:21:01,I need money to run away.
1,1,347,00:37:23:15,00:37:25:01,Are these made of real gold?
1,1,348,00:37:26:15,00:37:28:03,This is jade.
1,1,349,00:37:28:23,00:37:32:01,"Mu-deok, try applying this new rouge."
1,1,350,00:37:33:16,00:37:34:13,What are you doing?
1,1,351,00:37:36:02,00:37:38:10,"Ju-wol, what is wrong?"
1,1,352,00:37:41:07,00:37:42:24,Can you see?
1,1,353,00:37:52:10,00:37:54:21,Catch Mu-deok! Catch the thief!
1,1,354,00:38:00:16,00:38:01:23,It is too high.
1,1,355,00:38:10:08,00:38:11:05,That way!
1,1,356,00:38:34:24,00:38:36:10,What are you looking at?
1,1,357,00:38:54:06,00:38:55:09,You…
1,1,358,00:39:03:07,00:39:04:16,Do not make a sound.
1,1,359,00:39:06:12,00:39:09:09,"I heard a blind girl
recently joined the place."
1,1,360,00:39:10:00,00:39:11:01,But you can see.
1,1,361,00:39:14:01,00:39:15:20,They told me your name.
1,1,362,00:39:15:22,00:39:17:23,"I think it started with a ""D""
or something."
1,1,363,00:39:18:00,00:39:19:02,No.
1,1,364,00:39:20:11,00:39:21:16,"Oh, I remember."
1,1,365,00:39:22:14,00:39:23:11,Mu-deok.
1,1,366,00:39:25:05,00:39:27:13,"Yes, I am Mu-deok."
1,1,367,00:39:28:10,00:39:31:02,"I know what you look like,"
1,1,368,00:39:31:05,00:39:33:12,"so if you do not stay quiet until I leave,"
1,1,369,00:39:33:14,00:39:35:09,I will come back and behead you.
1,1,370,00:39:39:07,00:39:40:08,What is so funny?
1,1,371,00:39:42:08,00:39:43:16,You have beautiful eyes.
1,1,372,00:39:46:12,00:39:47:12,Cut the nonsense.
1,1,373,00:39:48:15,00:39:51:15,"Right, sorry.
Only your eyes are beautiful."
1,1,374,00:39:53:14,00:39:54:18,You must be crazy.
1,1,375,00:40:01:17,00:40:02:13,Mu-deok.
1,1,376,00:40:03:05,00:40:04:13,Mu-deok!
1,1,377,00:40:06:03,00:40:08:18,Come on. There is not much in there.
1,1,378,00:40:10:17,00:40:11:21,Just…
1,1,379,00:40:12:22,00:40:13:21,take this instead.
1,1,380,00:40:17:07,00:40:18:09,Hey…
1,1,381,00:40:37:11,00:40:40:07,"-What are you looking at?
-What? Nothing."
1,1,382,00:40:45:17,00:40:46:16,Dang-gu.
1,1,383,00:40:48:05,00:40:51:02,"I heard Naksu,
the Shadow Assassin, uses Tansu."
1,1,384,00:40:51:04,00:40:53:02,What do you know about Tansu?
1,1,385,00:40:53:04,00:40:55:17,"I know enough.
I read about it in my free time."
1,1,386,00:40:56:05,00:40:57:03,TANSU
1,1,387,00:40:57:20,00:40:59:13,"You see, Tansu is"
1,1,388,00:40:59:15,00:41:02:24,"a type of swordsmanship
that only the best mages can learn."
1,1,389,00:41:03:01,00:41:05:20,"You flick energy with a blade
just like how you flick water."
1,1,390,00:41:05:23,00:41:08:09,A single strike is enough to kill someone.
1,1,391,00:41:18:03,00:41:20:11,But why do you ask?
